"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*031lx*","CJ McCollum","NO","PG,SG,G,Flx","73","BBB","32","","470","42.73","100%","71.97","98%","+0.1%","7.1","16.1","2.8","2.8","3.5","19.8","4.2","5.5","1.6","0.9","1.4","0.0","1"
"*04azw*","Lauri Markkanen","UTA","SF,PF,F,Flx","41","STARKS","26","","637","42.47","100%","28.1","100%","0%","8.1","16.8","3.3","4.2","5.0","23.7","8.7","1.1","1.1","0.9","1.3","0.0","5"
"*01uyj*","Paul George","LAC","SF,PF,F,Flx","33","Jmarr237","33","","923","41.95","100%","36.49","99%","+0.1%","8.0","18.0","3.2","4.0","4.4","23.2","5.9","4.2","1.7","0.3","2.3","0.0","1"
"*027oj*","Kyrie Irving","DAL","PG,SG,G,Flx","82","BBB","31","","711","41.82","100%","21.35","99%","0%","8.6","18.2","2.5","3.3","3.6","23.0","3.9","5.2","1.2","0.3","1.4","0.0","2"
"*06211*","Chet Holmgren","OKC","PF,F,C,Flx","17","SERP","21","@ORL Tue 4:30PM","912","41.45","100%","44.9","100%","0%","6.0","11.5","1.6","3.4","3.8","17.0","7.8","2.5","0.9","2.4","2.0","0.0","7"
"*04qs1*","Anfernee Simons","POR","PG,SG,G,Flx","151","BIGFOOTS","24","MIN Tue 7:00PM","163","40.75","100%","76.08","99%","+0.1%","9.0","21.3","4.3","6.3","6.3","28.5","2.3","5.0","0.8","0.3","2.5","0.0","0"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F,Flx","27","maxpat01","22","@POR Tue 7:00PM","766","40.32","100%","13","100%","0%","8.5","18.7","2.4","5.1","5.8","24.4","5.6","4.8","1.2","0.5","3.1","0.0","2"
"*03ad3*","Karl-Anthony Towns","MIN","PF,F,C,Flx","30","SDP","28","@POR Tue 7:00PM","883","40.14","100%","22.09","99%","+0.1%","7.8","15.3","2.1","4.0","4.5","21.6","9.1","3.0","0.9","0.7","2.9","0.0","12"
"*04qsa*","Jalen Brunson","NY","PG,G,Flx","13","BIGFOOTS","27","","882","40.09","100%","39.71","100%","0%","8.8","18.8","3.0","4.0","5.0","24.6","3.5","5.6","1.0","0.0","2.2","0.0","0"
"*04848*","Fred VanVleet","HOU","PG,G,Flx","32","Jmarr237","29","","761","40.05","100%","35.25","98%","-0.2%","5.5","14.5","3.2","2.5","2.8","16.7","4.2","8.5","0.8","0.5","1.7","0.0","8"
"*05uid*","Evan Mobley","CLE","PF,F,C,Flx","136","$C/$","22","","837","39.86","100%","38.66","100%","0%","6.8","11.8","0.1","2.4","3.1","16.0","10.5","2.9","0.8","1.7","2.3","0.0","12"
"*04qrn*","Mikal Bridges","BKN","SG,G,SF,PF,F,Flx","40","STARKS","27","BOS Tue 4:30PM","871","39.59","100%","22.13","100%","0%","8.4","17.0","2.2","4.2","4.9","23.1","6.0","4.0","1.0","0.5","2.5","0.0","3"
